feature,importance
num__Year,0.13730722956310812
cat__Brand_Mercedes,0.1263829955804818
cat__Brand_Audi,0.12620076452120554
num__Registration_Age,0.12509775879308088
cat__Brand_Bmw,0.12152071845215251
num__Kms_Driven,0.10368730853936414
num__Horsepower,0.04028748828727214
num__Engine_CC,0.03944548475796623
num__Mileage_kmpl,0.036133383165566794
cat__Brand_Tata,0.006699096473786933
num__Number_of_Doors,0.006657994319883315
num__Seats,0.005074568695047258
cat__Brand_Volkswagen,0.004664416006210218
num__Accidents,0.004586725031830351
num__Service_History,0.004362325814556878
cat__Owner_Type_First,0.0038635979260844017
cat__Fuel_Type_Petrol,0.003735081354009921
cat__Fuel_Type_Diesel,0.003425582612697337
cat__Color_Grey,0.003026465993362294
cat__City_Ahmedabad,0.0029969381935372025
cat__Color_Silver,0.0029924503015945304
num__Insurance_Valid,0.0029070944695140937
cat__Owner_Type_Second,0.00281889761553376
cat__Color_White,0.0027697436519106135
cat__City_Hyderabad,0.002685753153738606
cat__Color_Black,0.0026274115527500953
cat__Color_Red,0.0026115274433584986
cat__City_Chennai,0.0025999685901618927
cat__City_Bangalore,0.0025331446559875423
cat__Brand_Skoda,0.0024998105574749554
cat__City_Pune,0.002440940058694727
cat__Owner_Type_Third,0.00243166832753834
cat__Color_Blue,0.002382345347916438
cat__City_Delhi,0.0023088008578227496
cat__Color_Brown,0.0022844597926038003
cat__Brand_Nissan,0.0022779169408307896
cat__Owner_Type_Fourth+,0.0022701306875831297
cat__Brand_Ford,0.0022427141233178067
cat__Transmission_Manual,0.0022352973160732017
num__Tax_Paid,0.0022051782317750236
cat__Fuel_Type_Electric,0.0021636935692801403
cat__Transmission_Automatic,0.0021430860588453767
cat__Brand_Kia,0.0020186668430098673
cat__City_Mumbai,0.0019931944100454206
cat__Brand_Mahindra,0.001846372448463014
cat__City_Kolkata,0.0018354528770261767
cat__Brand_Honda,0.001712372826450119
cat__Fuel_Type_CNG,0.0016674723410062854
cat__Model_Virtus,0.001503011293485394
cat__Brand_Hyundai,0.001451477064810762
cat__Model_Figo,0.0013943100159980008
cat__Model_Harrier,0.0013731108531075244
cat__Fuel_Type_Hybrid,0.0013577163430187349
cat__Model_Sunny,0.001348942907781147
cat__Model_Amaze,0.001187148267717784
cat__Brand_Toyota,0.0011531501162660573
cat__Model_Punch,0.0011369687784025424
cat__Model_Verna,0.0010375974480484255
cat__Model_Bolero,0.0010228795485990145
cat__Model_Magnite,0.0009956324408266974
cat__Model_Nexon,0.0009664775546539448
cat__Model_Creta,0.000861615126161882
cat__Model_Slavia,0.0008062874753589509
cat__Model_Endeavour,0.0008047728416622179
cat__Model_Kicks,0.0007996590853104857
cat__Model_Octavia,0.000759608874438314
cat__Model_Seltos,0.0007508280202364028
cat__Model_Scorpio,0.0007390393686011072
cat__Model_Polo,0.0006999043711441075
cat__Model_Sonet,0.0006759146707288686
cat__Model_Civic,0.0006758506812741686
cat__Model_Yaris,0.0005855312876249334
cat__Model_Xuv700,0.0005721148183289546
cat__Model_Taigun,0.0005624226156177647
cat__Model_Ecosport,0.0005335108981759267
cat__Model_Kushaq,0.0005130304008925717
cat__Model_Corolla,0.0004895046183759633
cat__Model_Camry,0.0004660799702523972
cat__Model_City,0.00045965292620502924
cat__Model_Carens,0.000422353773180631
cat__Model_I20,0.0002936890366346745
cat__Model_X3,0.00013233861227082794
cat__Model_C-Class,0.00011532759629160086
cat__Model_X1,0.00011176770412090259
cat__Model_E-Class,0.00010908536940091725
cat__Model_Q3,0.0001026489529661032
cat__Model_A4,0.00010086677434415235
cat__Model_Gla,9.944715535626682e-05
cat__Model_3 Series,8.835550362007308e-05
cat__Model_Q5,7.887970719633628e-05
